user_id,concept_id,event_date,day_index,difficulty,elapsed_days,prior_exposures,successful_recalls,failed_recalls,prior_accuracy,motivation,prior_knowledge,quiz_score,recall_correct,true_recall_probability
user_001,fastapi,2026-06-02,1,0.4,1,1,0,0,0.0,0.966,0.168,46,0,0.6331
user_001,fastapi,2026-06-03,2,0.4,1,2,0,1,0.0,0.966,0.168,79,1,0.593
user_001,pandas,2026-06-04,3,0.38,1,1,0,0,0.0,0.966,0.168,87,1,0.649
user_001,sql-joins,2026-06-04,3,0.42,1,1,0,0,0.0,0.966,0.168,43,0,0.6162
user_001,pandas,2026-06-06,5,0.38,2,2,1,0,1.0,0.966,0.168,44,0,0.5202
user_001,statistics,2026-06-08,7,0.55,4,1,0,0,0.0,0.966,0.168,30,0,0.1024
user_001,statistics,2026-06-09,8,0.55,1,2,0,1,0.0,0.966,0.168,85,1,0.5057
user_001,pandas,2026-06-10,9,0.38,4,3,1,1,0.5,0.966,0.168,45,0,0.2277
user_001,fastapi,2026-06-10,9,0.4,7,3,1,1,0.5,0.966,0.168,65,0,0.086
user_001,sql-joins,2026-06-13,12,0.42,1,4,0,1,0.0,0.966,0.168,47,0,0.7062
user_001,prompt-engineering,2026-06-14,13,0.35,2,2,0,0,0.0,0.966,0.168,41,0,0.4981
user_001,statistics,2026-06-16,15,0.55,5,5,1,1,0.5,0.966,0.168,52,0,0.1922
user_001,pandas,2026-06-17,16,0.38,7,4,1,2,0.333,0.966,0.168,60,0,0.0688
user_001,prompt-engineering,2026-06-18,17,0.35,4,3,0,1,0.0,0.966,0.168,51,0,0.208
user_001,sql-joins,2026-06-18,17,0.42,5,5,0,2,0.0,0.966,0.168,39,0,0.1381
user_001,prompt-engineering,2026-06-19,18,0.35,1,4,0,2,0.0,0.966,0.168,90,1,0.6423
user_001,prompt-engineering,2026-06-20,19,0.35,1,5,1,2,0.333,0.966,0.168,90,1,0.728
user_001,prompt-engineering,2026-06-20,19,0.35,0,6,2,2,0.5,0.966,0.168,97,1,0.97
user_001,pandas,2026-06-25,24,0.38,3,6,1,3,0.25,0.966,0.168,82,1,0.3054
user_001,oop,2026-06-26,25,0.48,1,3,0,0,0.0,0.966,0.168,78,1,0.7223
user_001,statistics,2026-06-29,28,0.55,2,7,1,2,0.333,0.966,0.168,25,0,0.5266
user_001,oop,2026-06-30,29,0.48,1,7,1,0,1.0,0.966,0.168,75,1,0.836
user_001,statistics,2026-06-30,29,0.55,1,8,1,3,0.25,0.966,0.168,38,0,0.7014
user_002,pandas,2026-06-09,8,0.38,3,1,0,0,0.0,0.825,0.82,35,0,0.316
