event_id,user_id,event_date,day_index,event_type,concept_id,concept_name,category,difficulty,elapsed_days,prior_exposures,prior_accuracy,study_minutes,quiz_score,recall_correct
user_001-d00-e001,user_001,2026-06-01,0,study,fastapi,FastAPI Backend,backend,0.4,0,0,0.0,22,,
user_001-d01-e002,user_001,2026-06-02,1,quiz,fastapi,FastAPI Backend,backend,0.4,1,1,0.0,,46,0
user_001-d01-e003,user_001,2026-06-02,1,study,prompt-engineering,Prompt Engineering,ai,0.35,0,0,0.0,25,,
user_001-d02-e004,user_001,2026-06-03,2,quiz,fastapi,FastAPI Backend,backend,0.4,1,2,0.0,,79,1
user_001-d02-e005,user_001,2026-06-03,2,study,sql-joins,SQL Joins,data,0.42,0,0,0.0,14,,
user_001-d02-e006,user_001,2026-06-03,2,study,pandas,Pandas DataFrames,data,0.38,0,0,0.0,30,,
user_001-d03-e007,user_001,2026-06-04,3,quiz,pandas,Pandas DataFrames,data,0.38,1,1,0.0,,87,1
user_001-d03-e008,user_001,2026-06-04,3,quiz,sql-joins,SQL Joins,data,0.42,1,1,0.0,,43,0
user_001-d03-e009,user_001,2026-06-04,3,study,statistics,Statistics Fundamentals,data-science,0.55,0,0,0.0,12,,
user_001-d05-e010,user_001,2026-06-06,5,quiz,pandas,Pandas DataFrames,data,0.38,2,2,1.0,,44,0
user_001-d06-e011,user_001,2026-06-07,6,study,sql-joins,SQL Joins,data,0.42,3,2,0.0,30,,
user_001-d07-e012,user_001,2026-06-08,7,quiz,statistics,Statistics Fundamentals,data-science,0.55,4,1,0.0,,30,0
user_001-d08-e013,user_001,2026-06-09,8,study,oop,Object-Oriented Programming,programming,0.48,0,0,0.0,32,,
user_001-d08-e014,user_001,2026-06-09,8,quiz,statistics,Statistics Fundamentals,data-science,0.55,1,2,0.0,,85,1
user_001-d09-e015,user_001,2026-06-10,9,quiz,pandas,Pandas DataFrames,data,0.38,4,3,0.5,,45,0
user_001-d09-e016,user_001,2026-06-10,9,quiz,fastapi,FastAPI Backend,backend,0.4,7,3,0.5,,65,0
user_001-d09-e017,user_001,2026-06-10,9,study,statistics,Statistics Fundamentals,data-science,0.55,1,3,0.5,37,,
user_001-d10-e018,user_001,2026-06-11,10,study,statistics,Statistics Fundamentals,data-science,0.55,1,4,0.5,24,,
user_001-d11-e019,user_001,2026-06-12,11,study,prompt-engineering,Prompt Engineering,ai,0.35,10,1,0.0,22,,
user_001-d11-e020,user_001,2026-06-12,11,study,sql-joins,SQL Joins,data,0.42,5,3,0.0,13,,
user_001-d12-e021,user_001,2026-06-13,12,quiz,sql-joins,SQL Joins,data,0.42,1,4,0.0,,47,0
user_001-d12-e022,user_001,2026-06-13,12,study,oop,Object-Oriented Programming,programming,0.48,4,1,0.0,37,,
user_001-d13-e023,user_001,2026-06-14,13,study,python-basics,Python Basics,programming,0.22,0,0,0.0,15,,
user_001-d13-e024,user_001,2026-06-14,13,quiz,prompt-engineering,Prompt Engineering,ai,0.35,2,2,0.0,,41,0
user_001-d15-e025,user_001,2026-06-16,15,quiz,statistics,Statistics Fundamentals,data-science,0.55,5,5,0.5,,52,0
user_001-d16-e026,user_001,2026-06-17,16,quiz,pandas,Pandas DataFrames,data,0.38,7,4,0.333,,60,0
user_001-d16-e027,user_001,2026-06-17,16,study,fastapi,FastAPI Backend,backend,0.4,7,4,0.333,18,,
user_001-d17-e028,user_001,2026-06-18,17,quiz,prompt-engineering,Prompt Engineering,ai,0.35,4,3,0.0,,51,0
user_001-d17-e029,user_001,2026-06-18,17,quiz,sql-joins,SQL Joins,data,0.42,5,5,0.0,,39,0
user_001-d18-e030,user_001,2026-06-19,18,quiz,prompt-engineering,Prompt Engineering,ai,0.35,1,4,0.0,,90,1
user_001-d19-e031,user_001,2026-06-20,19,quiz,prompt-engineering,Prompt Engineering,ai,0.35,1,5,0.333,,90,1
user_001-d19-e032,user_001,2026-06-20,19,study,sql-joins,SQL Joins,data,0.42,2,6,0.0,35,,
user_001-d19-e033,user_001,2026-06-20,19,quiz,prompt-engineering,Prompt Engineering,ai,0.35,0,6,0.5,,97,1
user_001-d20-e034,user_001,2026-06-21,20,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,0,0,0.0,31,,
user_001-d21-e035,user_001,2026-06-22,21,study,pandas,Pandas DataFrames,data,0.38,5,5,0.25,12,,
user_001-d22-e036,user_001,2026-06-23,22,study,fastapi,FastAPI Backend,backend,0.4,6,5,0.333,8,,
user_001-d24-e037,user_001,2026-06-25,24,quiz,pandas,Pandas DataFrames,data,0.38,3,6,0.25,,82,1
user_001-d24-e038,user_001,2026-06-25,24,study,oop,Object-Oriented Programming,programming,0.48,12,2,0.0,16,,
user_001-d25-e039,user_001,2026-06-26,25,study,vector-db,Vector Databases,ai,0.58,0,0,0.0,38,,
user_001-d25-e040,user_001,2026-06-26,25,quiz,oop,Object-Oriented Programming,programming,0.48,1,3,0.0,,78,1
user_001-d26-e041,user_001,2026-06-27,26,study,oop,Object-Oriented Programming,programming,0.48,1,4,1.0,11,,
user_001-d26-e042,user_001,2026-06-27,26,study,statistics,Statistics Fundamentals,data-science,0.55,11,6,0.333,33,,
user_001-d27-e043,user_001,2026-06-28,27,study,oop,Object-Oriented Programming,programming,0.48,1,5,1.0,20,,
user_001-d27-e044,user_001,2026-06-28,27,study,fastapi,FastAPI Backend,backend,0.4,5,6,0.333,25,,
user_001-d28-e045,user_001,2026-06-29,28,study,oop,Object-Oriented Programming,programming,0.48,1,6,1.0,43,,
user_001-d28-e046,user_001,2026-06-29,28,quiz,statistics,Statistics Fundamentals,data-science,0.55,2,7,0.333,,25,0
user_001-d29-e047,user_001,2026-06-30,29,study,sql-joins,SQL Joins,data,0.42,10,7,0.0,38,,
user_001-d29-e048,user_001,2026-06-30,29,quiz,oop,Object-Oriented Programming,programming,0.48,1,7,1.0,,75,1
user_001-d29-e049,user_001,2026-06-30,29,quiz,statistics,Statistics Fundamentals,data-science,0.55,1,8,0.25,,38,0
user_002-d00-e001,user_002,2026-06-01,0,study,sql-joins,SQL Joins,data,0.42,0,0,0.0,11,,
user_002-d00-e002,user_002,2026-06-01,0,study,python-basics,Python Basics,programming,0.22,0,0,0.0,41,,
user_002-d01-e003,user_002,2026-06-02,1,study,oop,Object-Oriented Programming,programming,0.48,0,0,0.0,19,,
user_002-d04-e004,user_002,2026-06-05,4,study,python-basics,Python Basics,programming,0.22,4,1,0.0,10,,
user_002-d04-e005,user_002,2026-06-05,4,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,0,0,0.0,45,,
user_002-d04-e006,user_002,2026-06-05,4,study,statistics,Statistics Fundamentals,data-science,0.55,0,0,0.0,24,,
user_002-d05-e007,user_002,2026-06-06,5,study,pandas,Pandas DataFrames,data,0.38,0,0,0.0,24,,
user_002-d06-e008,user_002,2026-06-07,6,study,statistics,Statistics Fundamentals,data-science,0.55,2,1,0.0,12,,
user_002-d08-e009,user_002,2026-06-09,8,study,sql-joins,SQL Joins,data,0.42,8,1,0.0,21,,
user_002-d08-e010,user_002,2026-06-09,8,quiz,pandas,Pandas DataFrames,data,0.38,3,1,0.0,,35,0
user_002-d09-e011,user_002,2026-06-10,9,study,linear-regression,Linear Regression,machine-learning,0.5,0,0,0.0,42,,
user_002-d10-e012,user_002,2026-06-11,10,quiz,linear-regression,Linear Regression,machine-learning,0.5,1,1,0.0,,92,1
user_002-d10-e013,user_002,2026-06-11,10,study,vector-db,Vector Databases,ai,0.58,0,0,0.0,14,,
user_002-d11-e014,user_002,2026-06-12,11,quiz,sql-joins,SQL Joins,data,0.42,3,2,0.0,,29,0
user_002-d11-e015,user_002,2026-06-12,11,study,python-basics,Python Basics,programming,0.22,7,2,0.0,29,,
user_002-d11-e016,user_002,2026-06-12,11,quiz,vector-db,Vector Databases,ai,0.58,1,1,0.0,,83,1
user_002-d12-e017,user_002,2026-06-13,12,quiz,oop,Object-Oriented Programming,programming,0.48,11,1,0.0,,22,0
